Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
115.48,116.58500000000001,124.55,141.365,118.895,125.87,124.33500000000001,131.72,130.685,133.52
111.545,117.18,118.645,116.755,106.38,123.245,114.665,132.31,120.82000000000001,116.38
105.65,101.795,102.34,111.825,107.74000000000001,109.33500000000001,101.825,110.825,101.63,101.405
94.68,109.49000000000001,106.165,108.5,100.08,90.23,94.05,95.22500000000001,103.24000000000001,100.72
109.525,99.63,119.825,101.12,83.755,111.22500000000001,87.57000000000001,104.07000000000001,110.61,101.44500000000001
90.35000000000001,87.5,104.09,85.55,85.08500000000001,101.58,80.14,98.85000000000001,104.535,79.15
87.685,77.25,104.775,102.86500000000001,90.31,88.95,88.815,92.62,85.9,91.97
86.88,84.895,105.05,82.28,82.73,87.67,90.45,92.34,85.795,90.87
81.255,75.875,75.53,90.275,78.415,75.59,68.935,99.05,89.28,69.9
77.465,91.435,92.14,86.82000000000001,81.895,68.96000000000001,80.97,93.735,100.345,75.985
82.4,83.69,93.92,87.87,90.105,81.285,78.01,78.31,78.44500000000001,88.63
84.08500000000001,79.525,65.815,75.235,76.02,86.675,78.69500000000001,76.815,92.87,70.33
67.665,79.03,81.895,65.51,82.645,63.185,69.235,84.62,81.47500000000001,80.49
75.44,80.10000000000001,103.165,79.565,78.23,79.055,79.305,70.97,85.96000000000001,84.685
86.365,80.27,84.57000000000001,64.26,64.63,74.455,72.89,80.27,80.795,74.485
76.15,75.185,78.155,78.495,60.13,63.86,64.955,66.35,79.3,78.175
78.88,63.855000000000004,84.99,74.46000000000001,80.19500000000001,75.21000000000001,64.23,68.68,64.88,73.52
66.58500000000001,69.94500000000001,79.01,67.145,60.775,79.44,75.62,79.705,84.97,77.785
63.47,58.105000000000004,66.735,63.620000000000005,80.14,82.815,73.675,77.805,69.935,79.96000000000001
74.38,75.56,69.625,62.67,77.65,69.525,72.78,77.64,60.72,61.795
76.83500000000001,66.145,74.665,62.68,77.005,68.485,59.58,64.215,70.57000000000001,77.875
68.15,77.18,66.44500000000001,61.61,60.83,60.015,77.135,71.125,72.16,79.95
84.545,61.08,59.51,61.28,55.18,62.36,55.215,61.635,68.7,71.63
56.29,58.02,61.01,58.325,58.045,73.8,55.300000000000004,57.29,59.495000000000005,72.37
68.2,55.74,53.800000000000004,75.27,54.125,81.5,60.77,67.665,62.445,72.26
70.765,67.14,59.64,58.83,54.78,58.800000000000004,53.21,71.59,57.47,65.985
72.10000000000001,61.475,58.01,74.74,69.375,73.19,63.465,57.980000000000004,68.435,56.485
60.660000000000004,81.9,59.04,53.75,55.845,74.36,62.335,76.67,77.405,58.04
53.905,60.09,56.76,69.31,59.74,56.800000000000004,73.77,57.075,56.36,55.705
55.975,54.5,58.445,67.59,50.49,69.14,68.03,76.825,53.480000000000004,71.135
